ID,calBP,er,C14,er
1.Zoser,4650,75,3979,350
12.Sneferu,4575,75,4802,210
81.Sesotris,3750,NA,3620,310
62.Ptolemy,2280,NA,2190,450
267.Hemaka,4900,200,4883,200
72.Tayinat,2625,50,2531,270
450.OverbeckPeat,2600,100,1449,200
432.DanishBorealII,8500,NA,7583,380
433.BorealIV,8000,NA,9929,350
434.BorealIV,8000,NA,8631,540
462.Mesolithic,4000,NA,4964,300
36-39.Deevey,8300,NA,8323,400
103a.DouglasFir,1364,0,973,200
103a.DouglasFir,1364,0,1070,100
159a.Sequoia,2928,51,3045,210
159b.Sequoia,2928,51,2817,240
159c.Sequoia,2928,51,2404,210
