#set div cal c14 c14sig calsig*
110 4 15675.0 12973 209 40
110 4 17245.0 14159 202 30
110 4 17680.0 14477 213 45
110 4 23630.0 19650 289 80
110 6 14210.0 12239 199 50
110 6 18210.0 14890 188 70
110 6 18860.0 15761 341 125
110 6 18970.0 16121 211 35
110 6 20570.0 16960 248 60
110 6 21935.0 18052 229 65
111 3 14251.0 12484 118 11
111 3 14295.0 12544 118 29
111 3 14396.0 12469 114 12
111 3 14396.0 12569 114 12
111 3 14408.0 12472 118 20
111 3 14408.0 12562 118 20
111 3 14539.0 12383 115 23
111 3 14573.0 12423 116 15
111 3 14596.0 12637 163 26
111 3 14596.0 12487 179 26
111 3 14596.0 12487 137 26
111 3 14685.0 12546 114 22
111 3 14685.0 12546 115 22
111 3 17580.0 14223 115 69
111 3 17580.0 14353 116 69
111 3 17935.0 14446 115 26
111 3 17935.0 14516 120 26
111 3 17996.0 14442 118 35
111 3 18116.0 14750 115 37
111 3 18116.0 14760 115 37
111 3 18116.0 14690 115 37
111 3 18116.0 14770 115 37
111 3 18174.0 14725 115 33
111 3 18176.0 14835 115 56
111 3 18218.0 14829 116 44
111 3 18408.0 14627 118 26
111 3 18408.0 14602 118 26
111 3 18494.0 14716 116 36
111 3 18494.0 14741 114 36
111 3 18617.0 15188 116 21
111 3 18716.0 15346 115 28
111 3 18716.0 15361 115 28
111 3 18806.0 15269 116 33
111 3 19075.0 15815 120 55
111 3 19075.0 15880 116 55
111 3 19203.0 15653 118 37
111 3 19203.0 15683 118 37
111 3 19203.0 15708 118 37
111 3 19337.0 15939 118 23
111 3 19421.0 15628 118 23
111 3 19421.0 15618 118 23
111 3 19434.0 16316 118 30
111 3 19434.0 16296 118 30
111 3 19443.0 16445 116 30
111 3 19450.0 15929 116 36
111 3 19450.0 15949 118 36
111 3 19483.0 16432 120 27
111 3 19544.0 15929 120 22
111 3 19595.0 16569 118 44
111 3 19595.0 16479 118 44
111 3 19627.0 16604 120 34
111 3 19638.0 16435 116 25
111 3 19638.0 16340 118 25
111 3 19677.0 16521 122 64
111 3 19677.0 16536 120 64
111 3 19678.0 16406 120 33
111 3 19735.0 16184 122 25
111 3 19735.0 16204 120 25
111 3 19913.0 16692 118 34
111 3 19913.0 16687 118 34
111 3 20082.0 16649 118 27
111 3 20082.0 16704 118 27
