#set div cal c14 c14sig calsig*
124 1 14390.0 12373 56 75
124 1 14480.0 12348 67 71
124 1 14480.0 12423 61 71
124 1 14560.0 12428 64 51
124 1 14720.0 12483 58 78
124 1 14900.0 12523 61 78
124 1 15250.0 12738 58 70
124 1 15330.0 12938 58 70
124 1 15560.0 12938 58 70
124 1 15650.0 12988 61 38
124 1 15810.0 13248 58 70
124 1 16930.0 14008 64 81
124 1 17070.0 13953 64 36
124 1 17230.0 14108 58 76
124 1 17580.0 14388 58 76
124 1 17640.0 14493 64 76
124 1 17890.0 14873 61 114
124 1 18140.0 14938 64 114
124 1 18140.0 15038 61 114
124 1 18310.0 15013 61 56
124 1 18350.0 15208 61 56
124 1 18510.0 15183 61 56
124 1 18540.0 15188 61 56
124 1 18700.0 15433 61 56
124 1 18840.0 15363 61 56
124 1 19050.0 15743 61 52
124 1 19200.0 16003 61 52
124 1 19370.0 15928 64 52
124 1 19530.0 16058 64 279
124 1 20260.0 16803 64 279
124 1 20260.0 16768 64 279
124 1 20680.0 17208 64 131
124 1 20890.0 17293 67 131
124 1 22300.0 18328 78 131
124 1 22410.0 18793 67 131
124 1 23150.0 19373 67 405
124 1 24230.0 19558 67 405
124 1 25720.0 21188 78 305
124 1 26850.0 22538 103 309
124 2 14258.0 12238 56 32
124 2 14258.0 12183 56 32
124 2 14358.0 12343 56 29
124 2 14413.0 12348 56 29
124 2 14514.0 12363 56 28
124 2 14613.0 12378 56 33
124 2 14636.0 12423 61 29
124 2 14642.0 12383 56 22
124 2 14707.0 12403 56 29
124 2 14841.0 12543 56 30
124 2 14953.0 12583 56 56
124 2 14953.0 12608 56 56
124 3 15069.0 12598 56 26
124 3 15170.0 12763 58 26
124 3 15170.0 12738 54 26
124 3 15245.0 12808 56 25
124 3 15349.0 12948 54 24
124 3 15467.0 12953 56 23
124 3 15467.0 12963 56 23
124 3 15554.0 12918 56 22
124 3 15603.0 13008 56 20
124 3 15634.0 13018 56 20
124 3 15652.0 13058 56 21
124 3 15712.0 13053 56 22
124 3 15799.0 13138 56 23
124 3 15879.0 13208 58 23
124 3 16034.0 13298 58 23
124 3 16132.0 13438 56 23
124 3 16133.0 13328 56 23
124 3 16133.0 13358 58 23
124 3 16190.0 13438 58 23
124 3 16284.0 13573 56 23
124 3 16361.0 13628 56 22
124 3 16434.0 13643 58 23
124 3 16564.0 13718 56 23
124 3 16686.0 13818 58 20
124 3 16731.0 13803 58 24
124 3 16826.0 13868 58 25
124 3 16936.0 13873 58 25
124 3 17001.0 13958 58 24
124 3 17053.0 14043 67 21
124 3 17062.0 14008 64 21
124 3 17072.0 14053 64 21
124 3 17108.0 14103 64 24
124 3 17186.0 14113 64 24
124 3 17239.0 14198 64 25
124 3 17292.0 14188 64 25
124 3 17420.0 14258 64 24
124 3 17542.0 14383 64 25
124 3 17646.0 14483 67 25
124 3 17716.0 14603 67 29
124 3 17821.0 14543 64 30
124 3 18054.0 14838 71 31
124 3 18250.0 14938 67 30
124 3 18308.0 15028 61 23
124 3 18381.0 15133 61 23
124 3 18450.0 15073 67 23
124 3 18455.0 15198 64 23
124 3 18455.0 15223 58 23
124 3 18484.0 15228 58 22
124 3 18529.0 15248 67 21
124 3 18529.0 15248 54 21
124 3 18620.0 15338 67 22
124 3 18698.0 15323 67 24
124 3 18758.0 15503 67 24
124 3 18830.0 15598 67 22
124 3 18832.0 15593 64 21
124 3 18842.0 15548 67 21
124 3 18843.0 15563 64 20
124 3 18886.0 15588 61 22
124 3 18926.0 15688 61 23
124 3 18938.0 15723 61 24
124 3 19004.0 15753 61 25
124 3 19068.0 15863 64 26
124 3 19091.0 15848 61 27
124 3 19128.0 15803 61 26
124 3 19169.0 15853 64 25
124 3 19203.0 15858 61 26
124 3 19210.0 15938 61 26
124 3 19277.0 16023 61 26
124 3 19369.0 16038 64 28
124 3 19369.0 16033 54 28
124 3 19478.0 15923 71 28
124 3 19478.0 16063 54 28
124 3 19830.0 16353 64 53
124 3 19830.0 16378 54 53
124 3 20247.0 16763 64 53
124 3 20436.0 16848 64 30
124 3 20534.0 16973 64 30
124 3 20640.0 17083 64 33
124 3 20789.0 17178 64 32
124 3 20976.0 17388 78 32
124 3 21159.0 17498 71 32
124 3 21330.0 17578 58 31
124 3 21420.0 17738 78 31
124 3 21420.0 17668 56 31
124 3 21540.0 17723 56 32
124 3 21808.0 17883 56 32
124 3 21808.0 17768 61 32
124 3 22109.0 18073 64 33
124 3 22109.0 18213 56 33
124 3 22265.0 18323 58 33
124 3 22265.0 18283 64 33
124 3 22351.0 18383 64 33
124 3 22351.0 18373 56 33
124 3 22897.0 19038 64 72
124 3 22897.0 18743 56 72
124 3 23805.0 19683 67 72
124 3 24518.0 20503 71 72
124 3 24518.0 20723 58 72
124 3 24865.0 20563 67 37
124 3 24982.0 20683 67 38
124 3 25157.0 20763 67 58
124 3 25498.0 20938 71 59
124 3 25793.0 21363 71 61
124 3 26090.0 21948 78 62
124 3 26475.0 22158 86 70
124 4 14560.0 12388 54 39
124 4 15439.0 12908 56 36
124 5 18649.8 15270 64 35
124 5 18788.5 15365 67 31
124 5 18896.7 15610 67 28
124 5 18987.9 15710 64 26
124 5 18987.9 15695 64 28
124 5 19089.5 15760 67 32
124 5 19264.7 15895 67 37
124 5 19433.0 15940 103 27
124 5 19433.0 16035 67 35
124 5 19513.4 16130 67 24
124 5 19606.3 16195 67 24
124 5 19711.5 16260 67 26
124 5 19804.4 16380 67 28
124 5 19913.2 16525 67 33
124 5 19913.2 16500 67 31
124 5 20033.3 16625 67 34
124 5 20144.3 16620 67 34
124 5 20272.2 16690 67 35
124 5 20405.9 16895 67 37
124 5 20560.6 16980 71 38
124 5 20719.4 16905 71 33
124 5 20719.4 17000 67 30
124 5 20825.6 17225 71 28
124 5 20921.0 17360 64 27
124 5 21032.9 17450 67 27
124 5 21160.0 17565 67 32
124 5 21372.7 17655 67 34
124 5 21556.3 17735 67 32
124 5 21670.7 17770 64 31
124 5 21670.7 17740 67 30
124 5 21822.1 17880 71 30
124 5 21968.9 17975 67 29
124 5 22098.2 18205 67 29
124 5 22235.8 18340 67 30
124 5 22381.1 18445 71 32
124 5 22550.6 18600 71 33
124 5 22550.6 18540 71 32
124 5 22711.0 18825 71 33
124 5 22711.0 18860 71 33
124 5 22855.4 18880 78 36
124 5 23010.9 19090 78 34
124 5 23135.1 19250 71 32
124 5 23298.7 19475 71 35
124 5 23466.9 19560 78 31
124 5 23587.1 19600 78 28
124 5 23724.8 19620 78 28
124 5 23854.9 19920 78 27
124 5 23854.9 19870 78 24
124 5 23948.0 19930 78 26
124 5 23948.0 19965 71 24
124 5 24022.2 20035 64 29
124 5 24087.2 20100 67 34
124 5 24129.3 20205 67 36
124 5 24271.5 20230 64 38
124 5 24300.3 20255 64 38
124 5 24383.2 20405 64 36
124 5 24500.3 20390 78 31
124 5 24648.6 20500 78 28
124 5 24771.8 20550 78 27
124 5 24814.0 20630 67 29
124 5 24890.6 20530 78 32
124 5 24977.1 20745 71 33
124 5 25044.5 20820 78 31
124 5 25151.4 20980 86 29
124 5 25151.4 20935 71 30
124 5 25285.9 20940 78 32
124 5 25338.0 21025 71 30
124 5 25452.1 21100 86 26
124 5 25481.7 21090 71 25
124 5 25556.3 21040 86 27
124 5 25616.2 21130 78 28
124 5 25669.6 21270 86 29
124 5 25751.7 21560 86 34
124 5 25919.0 21640 86 38
124 5 26099.1 21800 78 36
124 5 26222.7 21940 78 33
124 5 26302.6 22120 86 32
124 5 26302.6 22120 86 31
124 5 26420.4 22030 86 33
124 5 26564.6 22200 86 36
124 5 26564.6 22230 78 36
124 5 26739.7 22340 78 34
124 5 26917.5 22590 78 33
124 5 27057.5 22720 86 33
124 5 27057.5 22650 86 34
124 5 27192.1 22900 94 34
124 5 27192.1 22810 78 34
124 5 27311.9 23050 86 34
124 5 27311.9 23110 86 34
124 5 27447.3 23330 86 35
124 5 27447.3 23140 86 36
124 5 27593.4 23370 86 36
124 5 27593.4 23440 86 37
124 5 27716.4 23530 86 39
124 5 27877.3 23620 94 43
124 5 28042.8 23790 86 49
124 5 28189.5 23990 86 53
124 5 28386.3 24100 94 48
124 5 28581.9 24380 94 40
124 5 28735.7 24720 112 36
124 5 28848.9 24810 103 33
124 5 28934.7 24850 112 31
124 5 29055.5 24890 94 33
124 5 29207.8 24880 94 36
124 5 29207.8 24940 103 37
124 5 29356.8 25200 103 38
124 5 29356.8 25200 103 37
124 5 29493.6 25150 112 37
124 5 29602.8 25210 94 38
124 5 29756.5 25420 103 43
124 5 29942.7 25550 103 47
124 5 30110.8 25950 121 52
124 5 30409.0 26120 103 60
124 5 30766.2 26520 103 64
124 5 30976.1 26620 121 62
124 5 31177.8 26860 130 68
124 5 31505.6 27740 130 72
124 5 31505.6 27540 121 67
124 5 31814.7 27620 112 69
124 5 31814.7 27930 121 71
124 5 32041.9 28090 130 70
124 5 32265.0 28340 121 72
124 5 32561.5 28470 130 80
124 5 32826.6 28580 121 87
124 5 33072.4 28710 130 88
124 5 33072.4 28770 139 86
124 5 33318.3 29110 139 87
124 5 33318.3 29070 130 86
124 5 33589.2 29000 121 82
124 5 33917.4 29050 130 89
124 5 34219.8 29460 130 95
124 5 34510.3 30090 139 93
124 5 34805.1 30620 149 97
124 5 35100.1 30900 158 100
124 5 35395.9 30900 196 90
124 5 35610.8 30980 206 84
124 5 35855.8 31210 158 82
124 5 36140.8 31350 158 77
124 5 36140.8 31620 187 79
124 5 36420.3 32160 168 76
124 5 36420.3 32190 196 75
124 5 36627.9 32210 177 72
124 5 36772.3 32400 177 68
124 5 36898.9 32410 177 66
124 5 37011.8 32690 187 70
124 5 37179.2 32790 187 75
124 5 37410.0 33300 226 79
124 5 37410.0 32710 196 78
124 5 37574.9 33190 187 80
124 5 37684.5 33390 196 79
124 5 37878.9 33310 196 79
124 5 38127.1 33530 206 84
124 5 38369.1 33380 255 88
124 5 38369.1 33600 216 87
124 5 38603.0 33630 255 84
124 5 38800.6 33630 206 79
124 5 38957.8 33800 206 77
124 5 39142.9 33900 216 80
124 5 39379.8 34140 226 81
124 5 39666.0 34220 226 90
124 5 39926.9 34540 226 89
124 5 40033.0 35000 245 83
124 5 40517.1 34950 275 93
124 5 40654.2 35040 304 94
124 5 40864.6 35440 294 102
124 5 41067.5 35780 294 98
124 5 41364.5 36590 334 94
124 5 41728.9 36700 304 96
124 5 41728.9 36740 334 96
124 5 42049.8 37520 363 98
124 5 42389.3 39080 463 82
124 5 42678.0 39220 453 65
124 5 42678.0 39260 453 63
124 5 42911.8 39940 493 57
124 5 43148.2 40330 522 54
124 5 43148.2 40190 502 54
124 5 43339.8 40680 532 60
124 5 43658.3 40240 423 78
124 5 43658.3 39900 522 77
124 5 43658.3 40610 572 78
124 5 44027.9 41260 572 88
124 5 44322.9 41750 602 86
124 5 44643.6 42150 642 77
124 5 44960.0 41920 622 64
124 5 44960.0 42740 702 64
124 5 45241.8 42560 672 56
124 5 45440.1 43480 752 49
124 5 45594.3 42770 742 47
124 5 45594.3 43420 632 47
124 5 45594.3 42030 642 47
124 5 45764.3 42840 702 46
124 5 45902.2 43860 652 43
124 5 45902.2 42220 662 44
124 5 45902.2 43510 822 43
124 5 46050.6 44470 841 46
124 5 46050.6 43260 742 46
124 5 46222.5 44180 812 49
124 5 46406.7 44610 861 49
124 5 46406.7 44100 812 51
124 5 46606.2 44430 841 50
124 5 46761.4 44170 812 45
124 5 46909.6 45720 981 42
124 5 47084.9 44790 871 49
124 5 47280.6 45070 921 63
124 5 47548.2 44670 712 77
124 5 47867.3 45250 772 92
124 5 47867.3 44330 692 90
124 5 48128.3 46360 871 99
124 5 48365.0 45580 812 103
124 5 48365.0 46010 841 102
124 5 48625.7 46280 851 107
124 5 48625.7 45040 981 107
124 5 48625.7 46480 891 107
124 5 48915.6 46930 931 108
124 5 49216.1 47060 951 111
124 5 49525.9 46750 941 118
124 5 49525.9 46470 891 116
124 5 49799.5 46530 881 114
124 5 49799.5 46520 891 116
124 5 50022.8 46320 871 110
124 5 50022.8 47530 1001 111
124 5 50293.8 46200 851 113
124 5 50293.8 47730 1001 112
124 5 50293.8 47980 1401 112
124 5 50293.8 48730 1201 112
124 5 50556.5 48030 1101 118
124 5 50556.5 48130 1401 118
124 5 50556.5 45840 822 116
124 5 50854.0 47040 951 123
124 5 50854.0 48630 1201 121
124 5 50854.0 47930 1101 121
124 5 51126.2 47530 1301 121
124 5 51126.2 48430 1501 120
124 5 51371.8 49930 1401 119
124 5 51371.8 47040 951 118
124 5 51668.3 47400 991 117
124 5 51668.3 48730 1201 117
124 5 51944.1 49130 1201 114
124 5 51944.1 48630 1101 113
124 5 52185.3 49130 1201 104
124 5 52446.8 49430 1301 96
124 5 52446.8 50430 1401 96
124 5 52654.7 49130 1201 91
124 5 52861.5 49530 1301 84
124 5 53071.4 50830 1501 78
124 5 53071.4 49830 1301 79
124 5 53262.2 51930 1701 79
124 5 53475.6 49230 1201 85
124 5 53687.1 49930 1401 99
124 5 53687.1 50030 1401 99
124 5 53970.1 49630 1301 122
